Entity,Code,Primo caso,Inizio epidemia,Giorni,31/01/20,10/02/20,20/02/20,29/02/20,10/03/20,20/03/20,31/03/20,10/04/20,20/04/20,30/04/20,10/05/20,20/05/20,31/05/20,10/06/20,20/06/20,30/06/20,10/07/20,20/07/20,31/07/20,10/08/20,20/08/20,31/08/20,10/09/20,20/09/20,30/09/20,10/10/20,20/10/20,31/10/20,10/11/20,20/11/20,30/11/20,10/12/20,20/12/20,31/12/20,10/01/21,20/01/21,31/01/21,10/02/21,20/02/21,28/02/21,10/03/21,20/03/21,31/03/21
Afghanistan,AFG,24/02/2020,27/03/2020,301,0,0,0,1,8,29,175,532,1027,2127,4403,8146,15208,22146,28428,31507,34184,35493,36665,37153,37852,38159,38572,39044,39268,39703,40369,41425,42463,44363,46274,48053,49817,51526,53489,54278,,,,,,,
Albania,ALB,09/03/2020,23/03/2020,305,0,0,0,0,10,70,243,416,584,773,868,964,1137,1341,1891,2535,3278,4171,5276,6536,7967,9513,10860,12385,13649,15231,17651,20875,25294,31459,38182,46061,53003,58316,63595,69238,,,,,,,
Algeria,DZA,25/02/2020,,0,0,0,0,1,20,90,716,1761,2718,4006,5723,7542,9394,10484,11631,13907,18242,23691,30394,35712,40258,44494,47488,49826,51530,52940,54829,57942,63446,72755,83199,90579,95203,99610,102144,104606,,,,,,,
American Samoa,ASM,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Andorra,AND,02/03/2020,22/03/2020,306,0,0,0,0,1,75,376,601,717,745,755,762,764,852,855,855,855,884,925,963,1024,1176,1301,1564,2050,2696,3623,4756,5477,6142,6745,7190,7577,8049,8586,9308,,,,,,,
Angola,AGO,20/03/2020,10/06/2020,226,0,0,0,0,0,1,7,19,24,27,45,52,86,113,176,284,458,749,1148,1679,2044,2654,3217,3991,4972,6246,8049,10805,12816,14267,15139,15925,16644,17553,18193,19093,,,,,,,
United Kingdom,AIA,31/01/2020,05/03/2020,323,2,14,22,61,889,7791,38815,86660,131260,178771,211911,239579,257539,269101,278640,285216,289678,296944,304793,313392,324203,338083,360544,396744,455846,593565,765487,1014793,1237198,1477214,1633733,1792611,2046161,2496231,3081368,3515796,,,,,,,
Antigua and Barbuda,ATG,13/03/2020,27/09/2020,117,0,0,0,0,0,1,7,19,23,24,25,25,26,26,26,69,74,76,91,92,94,94,95,96,101,111,119,128,131,139,141,146,153,159,176,190,,,,,,,
Argentina,ARG,03/03/2020,19/03/2020,309,0,0,0,0,17,128,1054,1975,2941,4428,6034,9283,16851,25987,41204,64530,94060,130774,191302,253868,320884,417735,524198,631365,751001,883882,1018999,1166924,1262476,1359042,1424533,1482216,1541285,1625514,1722217,1831681,,,,,,,
Armenia,ARM,01/03/2020,18/03/2020,310,0,0,0,0,1,136,532,937,1339,2066,3313,5271,9282,14103,19708,25542,30903,34981,38550,40433,42319,43781,45326,47431,50359,55736,66694,89813,108687,123646,135124,145240,153825,159409,162131,165221,,,,,,,
Netherlands,ABW,27/02/2020,06/03/2020,322,0,0,0,6,382,3003,12667,23249,33588,39512,42826,44647,46645,48294,49710,50483,51055,52142,54590,60058,66843,73232,82016,98217,125988,173894,250411,357640,426227,480649,531930,595473,700322,808382,885098,940106,,,,,,,
Australia,AUS,26/01/2020,,0,9,15,15,25,107,791,4559,6215,6623,6766,6948,7081,7202,7285,7461,7920,9553,12428,17280,21713,24407,25819,26564,26912,27096,27263,27443,27595,27671,27806,27912,28011,28198,28425,28614,28749,,,,,,,
Austria,AUT,25/02/2020,08/03/2020,320,0,0,0,9,182,2388,10180,13555,14795,15452,15871,16353,16731,17005,17323,17766,18709,19743,21130,22106,24431,27438,31247,38095,44813,54423,67451,104925,164866,235351,282456,313688,338854,360815,380722,398096,,,,,,,
Azerbaijan,AZE,01/03/2020,26/03/2020,302,0,0,0,0,11,44,298,991,1436,1804,2519,3631,5494,8530,12238,17524,22990,27890,31878,33647,34759,36435,37874,39188,40229,41752,45879,55269,67392,87163,121176,162774,202088,218700,224651,228028,,,,,,,
Bahamas,BHS,16/03/2020,23/05/2020,244,0,0,0,0,0,3,14,42,60,81,92,97,102,103,104,104,108,174,574,945,1610,2217,2721,3315,4123,5023,5923,6714,7012,7367,7541,7585,7746,7871,7969,8075,,,,,,,
Bahrain,BHR,24/02/2020,09/03/2020,319,0,0,0,41,110,285,567,925,1907,3040,4941,7888,11398,16200,21331,26758,32039,36936,40982,44397,48303,51972,58207,65039,70864,75287,78533,81645,83811,85467,86956,88632,90282,92675,95558,98573,,,,,,,
Bangladesh,BGD,08/03/2020,06/04/2020,291,0,0,0,0,3,20,51,424,2948,7667,14657,26738,47153,74865,108775,145483,178443,207453,237661,260507,287959,312996,332970,348918,363479,377073,391586,407684,423620,443434,464932,485965,500713,513510,522453,529687,,,,,,,
Barbados,BRB,17/03/2020,11/07/2020,195,0,0,0,0,0,5,34,67,75,81,84,90,92,96,97,97,98,106,110,142,156,174,180,189,190,206,222,237,243,253,276,291,307,383,878,1156,,,,,,,
Belarus,BLR,28/02/2020,30/03/2020,298,0,0,0,1,9,69,152,1981,6264,14027,22973,32426,42556,51066,57936,62118,64604,66213,67808,68947,69950,71843,73591,75674,78631,82471,88909,98482,108300,120847,136647,154392,173523,194284,212201,230494,,,,,,,
Belgium,BEL,04/02/2020,06/03/2020,322,0,1,1,1,267,2257,12775,26667,39983,48519,53081,55983,58381,59569,60550,61427,62357,64094,68751,74620,80178,85236,90568,102295,118452,156931,240159,429229,507475,553680,577345,600397,625930,646496,664263,684256,,,,,,,
Belize,BLZ,23/03/2020,06/08/2020,169,0,0,0,0,0,0,3,10,18,18,18,18,18,20,22,24,37,40,48,177,605,1007,1365,1627,1992,2427,2886,3487,4414,5056,5854,8805,9791,10776,11303,11642,,,,,,,
Benin,BEN,16/03/2020,07/05/2020,260,0,0,0,0,0,2,9,35,54,64,319,130,232,305,650,1199,1285,1602,1805,1936,2095,2145,2242,2280,2357,2411,2496,2643,2781,2916,3015,3090,3167,3251,3304,3557,,,,,,,
Bhutan,BTN,06/03/2020,30/07/2020,176,0,0,0,0,1,2,4,5,5,7,7,21,43,59,68,77,80,90,101,110,153,225,238,261,282,306,331,349,364,378,410,434,446,670,813,850,,,,,,,
Bolivia,BOL,11/03/2020,31/03/2020,297,0,0,0,0,0,15,107,268,564,1167,2556,4919,9982,15281,23512,33219,45565,60991,76789,91635,106065,116598,124205,130676,135311,138463,140037,141757,142664,143854,144708,146385,150023,160124,173896,193745,,,,,,,
Bosnia and Herzegovina,BIH,06/03/2020,22/03/2020,306,0,0,0,0,5,89,420,901,1309,1757,2117,2338,2510,2775,3273,4453,6402,8479,11876,14498,17029,19964,22544,25428,27469,30345,35389,50090,65024,77994,87901,98603,105524,110985,115633,118717,,,,,,,
Botswana,BWA,30/03/2020,29/06/2020,207,0,0,0,0,0,0,4,13,20,23,23,25,35,48,89,227,314,522,804,1066,1308,1633,2252,2567,3172,3219,5609,6642,7835,9594,10742,12501,13014,14805,16050,18630,,,,,,,
Brazil,BRA,26/02/2020,13/03/2020,315,0,0,0,2,31,793,5717,19638,40743,87187,162699,291579,514849,772416,1067579,1402041,1800827,2118646,2662485,3057470,3501975,3908272,4238446,4544629,4810935,5082637,5273954,5535605,5699005,6020164,6335878,6781799,7238600,7675973,8105790,8638249,,,,,,,
Brunei,BRN,09/03/2020,24/03/2020,304,0,0,0,0,1,78,129,136,138,138,141,141,141,141,141,141,141,141,141,142,143,144,145,145,146,146,147,148,148,148,150,152,152,157,173,174,,,,,,,
Bulgaria,BGR,08/03/2020,19/03/2020,309,0,0,0,0,4,127,399,635,929,1506,1965,2292,2513,2993,3872,4989,6964,8929,11690,13512,14962,16266,17598,18863,20833,24319,31863,52844,83366,118418,145300,174568,191195,202266,208511,213409,,,,,,,
Burkina Faso,BFA,10/03/2020,24/03/2020,304,0,0,0,0,1,40,261,443,581,645,751,809,847,891,901,962,1020,1065,1106,1204,1297,1368,1486,1846,2056,2271,2406,2500,2582,2686,2886,3579,5160,6707,8082,9553,,,,,,,
Burundi,BDI,31/03/2020,16/06/2020,220,0,0,0,0,0,0,2,3,5,11,15,42,63,83,104,170,191,322,387,408,422,445,469,473,508,517,550,585,615,649,688,720,761,818,986,1322,,,,,,,
Cambodia,KHM,27/01/2020,,0,1,1,1,1,2,51,109,119,122,122,122,122,125,126,129,141,141,171,239,251,273,274,274,275,277,283,286,291,300,305,326,357,363,378,391,453,,,,,,,
Cameroon,CMR,06/03/2020,29/03/2020,299,0,0,0,0,2,20,193,820,1163,1832,2579,3733,5904,8681,11610,12592,14916,16157,17255,18042,18762,19142,20009,20431,20838,21203,21570,21793,22421,23528,24445,24963,25849,26277,26848,28010,,,,,,,
Canada,CAN,26/01/2020,11/03/2020,317,4,7,8,20,79,943,8527,22059,37658,54457,70091,81575,92479,98720,102762,106097,108984,112938,118281,122053,125625,130918,136956,145750,161107,182767,206349,237313,276481,324234,381557,445828,511748,584409,664606,730330,,,,,,,
Cabo Verde,CPV,20/03/2020,26/04/2020,271,0,0,0,0,0,1,6,7,67,121,246,349,435,615,863,1227,1591,2071,2451,2883,3368,3884,4557,5257,6024,6913,7901,8793,9499,10152,10761,11203,11579,11840,12392,13224,,,,,,,
Central African Republic,CAF,15/03/2020,08/05/2020,259,0,0,0,0,0,3,3,8,12,50,143,418,1011,1888,2686,3745,4259,4548,4608,4641,4679,4711,4747,4786,4829,4854,4858,4866,4884,4911,4913,4927,4936,4963,4973,4974,,,,,,,
Chad,TCD,19/03/2020,02/05/2020,265,0,0,0,0,0,1,7,11,33,73,322,565,778,846,858,866,874,889,936,945,972,1013,1051,1151,1200,1291,1399,1483,1561,1626,1688,1739,1890,2113,2537,3012,,,,,,,
