Continent,Entity,Code,Date,Confirmed,Deaths
Asia,Afghanistan,AFG,30/11/2021,157289,7308
Europe,Albania,ALB,30/11/2021,199945,3096
Africa,Algeria,DZA,30/11/2021,210531,6071
Oceania,American Samoa,ASM,30/11/2021,0,0
Europe,Andorra,AND,30/11/2021,17115,131
Africa,Angola,AGO,30/11/2021,65168,1733
North America,Antigua and Barbuda,ATG,30/11/2021,4141,117
South America,Argentina,ARG,30/11/2021,5330748,116589
Asia,Armenia,ARM,30/11/2021,338518,7567
Oceania,Australia,AUS,30/11/2021,211655,2011
Europe,Austria,AUT,30/11/2021,1159995,12492
Asia,Azerbaijan,AZE,30/11/2021,588318,7856
North America,Bahamas,BHS,30/11/2021,22791,671
Asia,Bahrain,BHR,30/11/2021,277690,1394
Asia,Bangladesh,BGD,30/11/2021,1576284,27981
North America,Barbados,BRB,30/11/2021,25316,229
Europe,Belarus,BLR,30/11/2021,654718,5081
Europe,Belgium,BEL,30/11/2021,1766035,27015
North America,Belize,BLZ,30/11/2021,30431,578
Africa,Benin,BEN,30/11/2021,24850,161
Asia,Bhutan,BTN,30/11/2021,2640,3
South America,Bolivia,BOL,30/11/2021,537559,19171
Europe,Bosnia and Herzegovina,BIH,30/11/2021,275065,12586
Africa,Botswana,BWA,30/11/2021,195068,2418
South America,Brazil,BRA,30/11/2021,22094459,614681
Asia,Brunei,BRN,30/11/2021,15058,97
Europe,Bulgaria,BGR,30/11/2021,695057,28453
Africa,Burkina Faso,BFA,30/11/2021,16000,286
Asia,Burma,MMR,30/11/2021,522402,19104
Africa,Burundi,BDI,30/11/2021,20415,38
Africa,Cabo Verde,CPV,30/11/2021,38370,349
Asia,Cambodia,KHM,30/11/2021,120134,2940
Africa,Cameroon,CMR,30/11/2021,106794,1791
North America,Canada,CAN,30/11/2021,1800867,29739
Africa,Central African Republic,CAF,30/11/2021,11708,101
Africa,Chad,TCD,30/11/2021,5107,175
South America,Chile,CHL,30/11/2021,1762751,38346
Asia,China,CHN,30/11/2021,111337,4849
South America,Colombia,COL,30/11/2021,5069644,128528
Africa,Comoros,COM,30/11/2021,4501,150
Africa,Congo (Brazzaville),COG,30/11/2021,18970,354
Africa,Congo (Kinshasa),COD,30/11/2021,58234,1107
,Cook Islands,COK,30/11/2021,0,0
North America,Costa Rica,CRI,30/11/2021,566839,7299
Africa,Cote d'Ivoire,CIV,30/11/2021,61724,704
Europe,Croatia,HRV,30/11/2021,608205,10899
North America,Cuba,CUB,30/11/2021,962486,8304
Europe,Cyprus,CYP,30/11/2021,134473,597
Europe,Czechia,CZE,30/11/2021,2150042,33069
Europe,Denmark,DNK,30/11/2021,492483,2908
,Djibouti,DJI,30/11/2021,13504,186
North America,Dominica,DMA,30/11/2021,6028,38
North America,Dominican Republic,DOM,30/11/2021,407251,4204
South America,Ecuador,ECU,30/11/2021,526870,33250
Africa,Egypt,EGY,30/11/2021,358578,20474
North America,El Salvador,SLV,30/11/2021,119803,3776
,Equatorial Guinea,GNQ,30/11/2021,13592,175
Africa,Eritrea,ERI,30/11/2021,7358,60
Europe,Estonia,EST,30/11/2021,222584,1800
,Eswatini,SWZ,30/11/2021,46656,1248
Africa,Ethiopia,ETH,30/11/2021,371536,6755
Oceania,Fiji,FJI,30/11/2021,52506,696
Europe,Finland,FIN,30/11/2021,186538,1335
Europe,France,FRA,30/11/2021,7778575,120112
Africa,Gabon,GAB,30/11/2021,37342,279
Africa,Gambia,GMB,30/11/2021,9989,342
Asia,Georgia,GEO,30/11/2021,845643,12054
Europe,Germany,DEU,30/11/2021,5923564,101794
Africa,Ghana,GHA,30/11/2021,130920,1209
Europe,Greece,GRC,30/11/2021,938903,18157
North America,Grenada,GRD,30/11/2021,5897,200
Oceania,Guam,GUM,30/11/2021,0,0
North America,Guatemala,GTM,30/11/2021,617984,15943
Africa,Guinea,GIN,30/11/2021,30770,387
Africa,Guinea-Bissau,GNB,30/11/2021,6440,148
South America,Guyana,GUY,30/11/2021,37874,994
North America,Haiti,HTI,30/11/2021,25175,738
North America,Honduras,HND,30/11/2021,377859,10402
Europe,Hungary,HUN,30/11/2021,1103108,34521
Europe,Iceland,ISL,30/11/2021,17894,35
Asia,India,IND,30/11/2021,34596776,469247
Asia,Indonesia,IDN,30/11/2021,4256409,143830
Asia,Iran,IRN,30/11/2021,6117445,129830
Asia,Iraq,IRQ,30/11/2021,2081172,23820
Europe,Ireland,IRL,30/11/2021,570115,5652
Asia,Israel,ISR,30/11/2021,1343660,8196
Europe,Italy,ITA,30/11/2021,5028547,133828
North America,Jamaica,JAM,30/11/2021,91249,2392
Asia,Japan,JPN,30/11/2021,1726636,18357
Asia,Jordan,JOR,30/11/2021,953943,11608
Asia,Kazakhstan,KAZ,30/11/2021,1054972,17845
Africa,Kenya,KEN,30/11/2021,255088,5335
,Kiribati,KIR,30/11/2021,2,0
Asia,Kuwait,KWT,30/11/2021,413362,2465
Asia,Kyrgyzstan,KGZ,30/11/2021,183351,2746
Asia,Laos,LAO,30/11/2021,73738,170
Europe,Latvia,LVA,30/11/2021,253659,4179
Asia,Lebanon,LBN,30/11/2021,670656,8725
,Lesotho,LSO,30/11/2021,21779,662
