Continent,Entity,Code,Date,Confirmed,Deaths
Asia,Afghanistan,AFG,31/01/2020,0,0
Asia,Afghanistan,AFG,10/02/2020,0,0
Asia,Afghanistan,AFG,20/02/2020,0,0
Asia,Afghanistan,AFG,29/02/2020,1,0
Asia,Afghanistan,AFG,10/03/2020,8,0
Asia,Afghanistan,AFG,20/03/2020,29,0
Asia,Afghanistan,AFG,31/03/2020,175,4
Asia,Afghanistan,AFG,10/04/2020,532,18
Asia,Afghanistan,AFG,20/04/2020,1027,36
Asia,Afghanistan,AFG,30/04/2020,2127,64
Asia,Afghanistan,AFG,10/05/2020,4403,120
Asia,Afghanistan,AFG,20/05/2020,8146,188
Asia,Afghanistan,AFG,31/05/2020,15208,258
Asia,Afghanistan,AFG,10/06/2020,22146,409
Asia,Afghanistan,AFG,20/06/2020,28428,573
Asia,Afghanistan,AFG,30/06/2020,31507,752
Asia,Afghanistan,AFG,10/07/2020,34184,973
Asia,Afghanistan,AFG,20/07/2020,35493,1185
Asia,Afghanistan,AFG,31/07/2020,36665,1284
Asia,Afghanistan,AFG,10/08/2020,37153,1329
Asia,Afghanistan,AFG,20/08/2020,37852,1386
Asia,Afghanistan,AFG,31/08/2020,38159,1403
Asia,Afghanistan,AFG,10/09/2020,38572,1421
Asia,Afghanistan,AFG,20/09/2020,39044,1443
Asia,Afghanistan,AFG,30/09/2020,39268,1460
Asia,Afghanistan,AFG,10/10/2020,39703,1475
Asia,Afghanistan,AFG,20/10/2020,40369,1501
Asia,Afghanistan,AFG,31/10/2020,41425,1538
Asia,Afghanistan,AFG,10/11/2020,42463,1580
Asia,Afghanistan,AFG,20/11/2020,44363,1666
Asia,Afghanistan,AFG,30/11/2020,46274,1795
Asia,Afghanistan,AFG,10/12/2020,48053,1935
Asia,Afghanistan,AFG,20/12/2020,49817,2067
Asia,Afghanistan,AFG,31/12/2020,51526,2191
Asia,Afghanistan,AFG,10/01/2021,53489,2277
Asia,Afghanistan,AFG,20/01/2021,54278,2354
Asia,Afghanistan,AFG,31/01/2021,55023,2400
Asia,Afghanistan,AFG,10/02/2021,55402,2418
Asia,Afghanistan,AFG,20/02/2021,55580,2430
Asia,Afghanistan,AFG,28/02/2021,0,0
Asia,Afghanistan,AFG,10/03/2021,0,0
Asia,Afghanistan,AFG,20/03/2021,0,0
Asia,Afghanistan,AFG,31/03/2021,0,0
Europe,Albania,ALB,31/01/2020,0,0
Europe,Albania,ALB,10/02/2020,0,0
Europe,Albania,ALB,20/02/2020,0,0
Europe,Albania,ALB,29/02/2020,0,0
Europe,Albania,ALB,10/03/2020,10,0
Europe,Albania,ALB,20/03/2020,70,2
Europe,Albania,ALB,31/03/2020,243,15
Europe,Albania,ALB,10/04/2020,416,23
Europe,Albania,ALB,20/04/2020,584,26
Europe,Albania,ALB,30/04/2020,773,31
Europe,Albania,ALB,10/05/2020,868,31
Europe,Albania,ALB,20/05/2020,964,31
Europe,Albania,ALB,31/05/2020,1137,33
Europe,Albania,ALB,10/06/2020,1341,34
Europe,Albania,ALB,20/06/2020,1891,43
Europe,Albania,ALB,30/06/2020,2535,62
Europe,Albania,ALB,10/07/2020,3278,85
Europe,Albania,ALB,20/07/2020,4171,113
Europe,Albania,ALB,31/07/2020,5276,157
Europe,Albania,ALB,10/08/2020,6536,200
Europe,Albania,ALB,20/08/2020,7967,238
Europe,Albania,ALB,31/08/2020,9513,284
Europe,Albania,ALB,10/09/2020,10860,324
Europe,Albania,ALB,20/09/2020,12385,362
Europe,Albania,ALB,30/09/2020,13649,387
Europe,Albania,ALB,10/10/2020,15231,416
Europe,Albania,ALB,20/10/2020,17651,458
Europe,Albania,ALB,31/10/2020,20875,509
Europe,Albania,ALB,10/11/2020,25294,579
Europe,Albania,ALB,20/11/2020,31459,672
Europe,Albania,ALB,30/11/2020,38182,810
Europe,Albania,ALB,10/12/2020,46061,965
Europe,Albania,ALB,20/12/2020,53003,1088
Europe,Albania,ALB,31/12/2020,58316,1181
Europe,Albania,ALB,10/01/2021,63595,1241
Europe,Albania,ALB,20/01/2021,69238,1291
Europe,Albania,ALB,31/01/2021,78127,1380
Europe,Albania,ALB,10/02/2021,88671,1503
Europe,Albania,ALB,20/02/2021,99062,1653
Europe,Albania,ALB,28/02/2021,0,0
Europe,Albania,ALB,10/03/2021,0,0
Europe,Albania,ALB,20/03/2021,0,0
Europe,Albania,ALB,31/03/2021,0,0
Africa,Algeria,DZA,31/01/2020,0,0
Africa,Algeria,DZA,10/02/2020,0,0
Africa,Algeria,DZA,20/02/2020,0,0
Africa,Algeria,DZA,29/02/2020,1,0
Africa,Algeria,DZA,10/03/2020,20,0
Africa,Algeria,DZA,20/03/2020,90,11
Africa,Algeria,DZA,31/03/2020,716,44
Africa,Algeria,DZA,10/04/2020,1761,256
Africa,Algeria,DZA,20/04/2020,2718,384
Africa,Algeria,DZA,30/04/2020,4006,450
Africa,Algeria,DZA,10/05/2020,5723,502
Africa,Algeria,DZA,20/05/2020,7542,568
Africa,Algeria,DZA,31/05/2020,9394,653
Africa,Algeria,DZA,10/06/2020,10484,732
Africa,Algeria,DZA,20/06/2020,11631,837
Africa,Algeria,DZA,30/06/2020,13907,912
Africa,Algeria,DZA,10/07/2020,18242,996
Africa,Algeria,DZA,20/07/2020,23691,1087
Africa,Algeria,DZA,31/07/2020,30394,1210
Africa,Algeria,DZA,10/08/2020,35712,1312
Africa,Algeria,DZA,20/08/2020,40258,1411
Africa,Algeria,DZA,31/08/2020,44494,1510
Africa,Algeria,DZA,10/09/2020,47488,1591
Africa,Algeria,DZA,20/09/2020,49826,1672
Africa,Algeria,DZA,30/09/2020,51530,1736
Africa,Algeria,DZA,10/10/2020,52940,1795
Africa,Algeria,DZA,20/10/2020,54829,1873
Africa,Algeria,DZA,31/10/2020,57942,1964
Africa,Algeria,DZA,10/11/2020,63446,2077
Africa,Algeria,DZA,20/11/2020,72755,2236
Africa,Algeria,DZA,30/11/2020,83199,2431
Africa,Algeria,DZA,10/12/2020,90579,2564
