Entity,Code,Day,stay_home_requirements
Afghanistan,AFG,31/03/2020,2
Afghanistan,AFG,30/06/2020,2
Afghanistan,AFG,30/09/2020,0
Afghanistan,AFG,31/12/2020,0
Afghanistan,AFG,31/03/2021,0
Afghanistan,AFG,30/06/2021,0
Afghanistan,AFG,30/09/2021,0
Albania,ALB,31/03/2020,2
Albania,ALB,30/06/2020,1
Albania,ALB,30/09/2020,1
Albania,ALB,31/12/2020,2
Albania,ALB,31/03/2021,2
Albania,ALB,30/06/2021,2
Algeria,DZA,31/03/2020,3
Algeria,DZA,30/06/2020,2
Algeria,DZA,30/09/2020,2
Algeria,DZA,31/12/2020,2
Algeria,DZA,31/03/2021,2
Algeria,DZA,30/06/2021,2
Algeria,DZA,30/09/2021,2
Andorra,AND,31/03/2020,1
Andorra,AND,30/06/2020,1
Andorra,AND,30/09/2020,0
Andorra,AND,31/12/2020,0
Andorra,AND,31/03/2021,0
Andorra,AND,30/06/2021,0
Andorra,AND,30/09/2021,0
Angola,AGO,31/03/2020,2
Angola,AGO,30/06/2020,1
Angola,AGO,30/09/2020,1
Angola,AGO,31/12/2020,1
Angola,AGO,31/03/2021,2
Angola,AGO,30/06/2021,1
Angola,AGO,30/09/2021,1
Argentina,ARG,31/03/2020,3
Argentina,ARG,30/06/2020,2
Argentina,ARG,30/09/2020,2
Argentina,ARG,31/12/2020,2
Argentina,ARG,31/03/2021,2
Argentina,ARG,30/06/2021,2
Argentina,ARG,30/09/2021,2
Aruba,ABW,31/03/2020,2
Aruba,ABW,30/06/2020,1
Aruba,ABW,30/09/2020,2
Aruba,ABW,31/12/2020,1
Aruba,ABW,31/03/2021,2
Aruba,ABW,30/06/2021,0
Aruba,ABW,30/09/2021,0
Australia,AUS,31/03/2020,1
Australia,AUS,30/06/2020,0
Australia,AUS,30/09/2020,2
Australia,AUS,31/12/2020,2
Australia,AUS,31/03/2021,2
Australia,AUS,30/06/2021,2
Australia,AUS,30/09/2021,2
Austria,AUT,31/03/2020,2
Austria,AUT,30/06/2020,0
Austria,AUT,30/09/2020,1
Austria,AUT,31/12/2020,2
Austria,AUT,31/03/2021,2
Austria,AUT,30/06/2021,0
Austria,AUT,30/09/2021,0
Azerbaijan,AZE,31/03/2020,3
Azerbaijan,AZE,30/06/2020,3
Azerbaijan,AZE,30/09/2020,1
Azerbaijan,AZE,31/12/2020,2
Azerbaijan,AZE,31/03/2021,1
Azerbaijan,AZE,30/06/2021,1
Azerbaijan,AZE,30/09/2021,0
Bahamas,BHS,31/03/2020,2
Bahamas,BHS,30/06/2020,2
Bahamas,BHS,30/09/2020,2
Bahamas,BHS,31/12/2020,2
Bahamas,BHS,31/03/2021,2
Bahamas,BHS,30/06/2021,2
Bahamas,BHS,30/09/2021,2
Bahrain,BHR,31/03/2020,1
Bahrain,BHR,30/06/2020,1
Bahrain,BHR,30/09/2020,2
Bahrain,BHR,31/12/2020,1
Bahrain,BHR,31/03/2021,1
Bahrain,BHR,30/06/2021,1
Bahrain,BHR,30/09/2021,1
Bangladesh,BGD,31/03/2020,1
Bangladesh,BGD,30/06/2020,2
Bangladesh,BGD,30/09/2020,2
Bangladesh,BGD,31/12/2020,2
Bangladesh,BGD,31/03/2021,2
Bangladesh,BGD,30/06/2021,2
Bangladesh,BGD,30/09/2021,2
Barbados,BRB,31/03/2020,1
Barbados,BRB,30/06/2020,2
Barbados,BRB,30/09/2020,0
Barbados,BRB,31/12/2020,2
Barbados,BRB,31/03/2021,2
Barbados,BRB,30/06/2021,0
Barbados,BRB,30/09/2021,2
Belarus,BLR,31/03/2020,0
Belarus,BLR,30/06/2020,1
Belarus,BLR,30/09/2020,1
Belarus,BLR,31/12/2020,1
Belarus,BLR,31/03/2021,1
Belarus,BLR,30/06/2021,1
